,year,state,name,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,expenditure,current_spending_instruction,current_spending,other_spending,total_capital,score,test_subject,grade
29,1996,California,LOS ANGELES UNIF SCH DIST,647612.0,3955718.0,404939.0,2586955.0,963824.0,4034260.0,2173537.0,1167984.0,431692.0,253651.0,209.12908267874698,Mathematics,4
30,1996,California,LOS ANGELES UNIF SCH DIST,647612.0,3955718.0,404939.0,2586955.0,963824.0,4034260.0,2173537.0,1167984.0,431692.0,253651.0,262.772478440845,Mathematics,8
31,1996,California,SAN DIEGO CITY UNIF SCH DIST,130360.0,804574.0,64883.0,359616.0,380075.0,799495.0,413521.0,256280.0,65260.0,62350.0,209.12908267874698,Mathematics,4
32,1996,California,SAN DIEGO CITY UNIF SCH DIST,130360.0,804574.0,64883.0,359616.0,380075.0,799495.0,413521.0,256280.0,65260.0,62350.0,262.772478440845,Mathematics,8
33,1996,District of Columbia,DC PUBLIC SCHOOLS,79802.0,678874.0,57870.0,0.0,621004.0,703245.0,334893.0,312944.0,39956.0,15452.0,187.134669958413,Mathematics,4
34,1996,District of Columbia,DC PUBLIC SCHOOLS,79802.0,678874.0,57870.0,0.0,621004.0,703245.0,334893.0,312944.0,39956.0,15452.0,232.831509532896,Mathematics,8
35,1996,Florida,BROWARD CO SCHOOL DIST,208359.0,1340858.0,75842.0,681465.0,583551.0,1395669.0,597547.0,434994.0,98536.0,232642.0,215.763582637868,Mathematics,4
36,1996,Florida,BROWARD CO SCHOOL DIST,208359.0,1340858.0,75842.0,681465.0,583551.0,1395669.0,597547.0,434994.0,98536.0,232642.0,263.63939360129797,Mathematics,8
37,1996,Florida,DADE CO SCH DIST,333817.0,2253650.0,171465.0,1183199.0,898986.0,2464887.0,1129205.0,693379.0,197790.0,392512.0,215.763582637868,Mathematics,4
38,1996,Florida,DADE CO SCH DIST,333817.0,2253650.0,171465.0,1183199.0,898986.0,2464887.0,1129205.0,693379.0,197790.0,392512.0,263.63939360129797,Mathematics,8
